            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461137.762873901, A.D. 2026-Apr-07 06:18:32.3050, -1.322600006887184E+05, -3.792701947125808E+05, -3.735171324193326E+04,  1.824101908893939E-01,  4.458315716695821E-01, -2.136805876575895E-02,
2461137.769818345, A.D. 2026-Apr-07 06:28:32.3050, -1.321494475105559E+05, -3.790026379475039E+05, -3.736444952897567E+04,  1.860782433512384E-01,  4.460282079638221E-01, -2.108718289695830E-02,
2461137.776762790, A.D. 2026-Apr-07 06:38:32.3050, -1.320367325889178E+05, -3.787349561618077E+05, -3.737701896637960E+04,  1.896173141679820E-01,  4.462483457674124E-01, -2.081183283790966E-02,
2461137.783707234, A.D. 2026-Apr-07 06:48:32.3050, -1.319219310117122E+05, -3.784671351979168E+05, -3.738942476358652E+04,  1.930349754500375E-01,  4.464921531141483E-01, -2.054165967890578E-02,
2461137.790651678, A.D. 2026-Apr-07 06:58:32.3050, -1.318051134949624E+05, -3.781991608327699E+05, -3.740166992866964E+04,  1.963382367465781E-01,  4.467596838189468E-01, -2.027634069080425E-02,
2461137.797596123, A.D. 2026-Apr-07 07:08:32.3050, -1.316863467051370E+05, -3.779310188403039E+05, -3.741375728332569E+04,  1.995335948249030E-01,  4.470508970916913E-01, -2.001557697821504E-02,
2461137.804540567, A.D. 2026-Apr-07 07:18:32.3050, -1.315656935533125E+05, -3.776626950430584E+05, -3.742568947653499E+04,  2.026270779608811E-01,  4.473656742451933E-01, -1.975909138330006E-02,
2461137.811485012, A.D. 2026-Apr-07 07:28:32.3050, -1.314432134639072E+05, -3.773941753546159E+05, -3.743746899702464E+04,  2.056242864098879E-01,  4.477038326430962E-01, -1.950662658736482E-02,
2461137.818429456, A.D. 2026-Apr-07 07:38:32.3050, -1.313189626205262E+05, -3.771254458142891E+05, -3.744909818465327E+04,  2.085304283878716E-01,  4.480651376284170E-01, -1.925794341108686E-02,
2461137.825373901, A.D. 2026-Apr-07 07:48:32.3050, -1.311929941910910E+05, -3.768564926152710E+05, -3.746057924082392E+04,  2.113503531271364E-01,  4.484493124580130E-01, -1.901281927181350E-02,
